%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
1477484271575747647,1490,1477484271265830925,/Vision_sensor,/mf7,0.389244407415,0.355770081282,2.84947085381,-0.705160426379,0.708586069279,-0.0207582263271,0.0149546595928
1477484271743465089,1491,1477484271543365054,/Vision_sensor,/mf7,0.388201475143,0.355021238327,2.84083890915,-0.704641107968,0.708607170766,-0.0319503339172,0.0183295853512
1477484271917409219,1492,1477484271678958538,/Vision_sensor,/mf7,0.391365796328,0.357480764389,2.86519432068,-0.705119040141,0.708856020378,-0.0174523020861,-0.00507088583441
1477484272037420244,1493,1477484271877699326,/Vision_sensor,/mf7,0.390019863844,0.356382846832,2.85470342636,-0.705331969852,0.708453283094,-0.0232259744347,0.00783074529544
1477484272141242899,1494,1477484272013493913,/Vision_sensor,/mf7,0.389448612928,0.355888336897,2.84885144234,-0.70509214348,0.70815591558,-0.035139244343,0.0112026024024
1477484272359350073,1495,1477484272129547273,/Vision_sensor,/mf7,0.390177428722,0.356495559216,2.85570383072,-0.705296928447,0.70828103039,-0.028307520177,0.0096382042242
1477484272649112688,1496,1477484272297062729,/Vision_sensor,/mf7,0.390088140965,0.356348216534,2.85442709923,-0.705265854848,0.7084102305,-0.0255372074396,0.0101425801793
1477484272928332330,1497,1477484272611589248,/Vision_sensor,/mf7,0.389177948236,0.355783939362,2.84901356697,-0.705183004879,0.708534770563,-0.0231569466531,0.012615518473
1477484273111362480,1498,1477484272880497346,/Vision_sensor,/mf7,0.389481604099,0.355873137712,2.84982204437,-0.704626946875,0.708889372952,-0.0276435950029,0.0145793285624
1477484273226169247,1499,1477484273071440287,/Vision_sensor,/mf7,0.389244794846,0.355770349503,2.84947347641,-0.70516045822,0.708586079547,-0.020758344974,0.0149526993675
1477484273334408002,1500,1477484273164995372,/Vision_sensor,/mf7,0.391696363688,0.357574999332,2.86605572701,-0.705548478928,0.708273412814,-0.0233225299403,-0.00248524138817
1477484273457205217,1501,1477484273217188714,/Vision_sensor,/mf7,0.390363961458,0.356785327196,2.85811519623,-0.70627348585,0.707631315723,-0.0208727159318,-3.37800070888e-05
1477484273601929189,1502,1477484273294844244,/Vision_sensor,/mf7,0.388937294483,0.355450809002,2.84565448761,-0.704518892633,0.708829546523,-0.0296169433288,0.0183471492325
1477484273840355553,1503,1477484273511030110,/Vision_sensor,/mf7,0.389335423708,0.35588273406,2.84879088402,-0.704907726213,0.708463832073,-0.0330667850078,0.00952192979076
1477484273972653519,1504,1477484273596316247,/Vision_sensor,/mf7,0.390446811914,0.356821268797,2.85954093933,-0.705644804238,0.708446330504,-0.0128792778884,0.00182191177041
1477484274036322442,1505,1477484273710673104,/Vision_sensor,/mf7,0.391460716724,0.357394605875,2.86344218254,-0.706332867006,0.707159430753,-0.0317761417952,-0.00311521435784
1477484274247796954,1506,1477484273928165701,/Vision_sensor,/mf7,0.388825267553,0.355611085892,2.84641695023,-0.704914046496,0.708657518094,-0.0281581180761,0.0103835589474
1477484274352462945,1507,1477484274204112527,/Vision_sensor,/mf7,0.387665688992,0.354559540749,2.83747577667,-0.703991822224,0.709256924374,-0.0270075471171,0.0249140458334
1477484274525168337,1508,1477484274297739703,/Vision_sensor,/mf7,0.388716250658,0.355298787355,2.84325480461,-0.704612199836,0.708438847071,-0.0364885210344,0.0174543068989
1477484274628789954,1509,1477484274472450654,/Vision_sensor,/mf7,0.390572190285,0.356860309839,2.85826301575,-0.705657487719,0.707960561581,-0.0289632487577,-0.00069951088989
1477484274743741753,1510,1477484274562365415,/Vision_sensor,/mf7,0.389216125011,0.355629622936,2.84773898125,-0.704788542935,0.708657742166,-0.0273453956911,0.0181529831981
1477484274848866885,1511,1477484274614892280,/Vision_sensor,/mf7,0.389431536198,0.355955451727,2.85161352158,-0.705746604702,0.708163784498,-0.0162278407382,0.0127444223141
1477484274961963818,1512,1477484274767189999,/Vision_sensor,/mf7,0.388125419617,0.354997962713,2.84174895287,-0.704466708212,0.709095820277,-0.0229838062625,0.0195328393035
1477484275068299956,1513,1477484274898790197,/Vision_sensor,/mf7,0.388832181692,0.355452626944,2.84565901756,-0.704304948105,0.709168762375,-0.0275824701821,0.0165355283994
1477484275176907014,1514,1477484274972483056,/Vision_sensor,/mf7,0.389194041491,0.355936408043,2.84976482391,-0.705401763527,0.70816951459,-0.02842270696,0.00982028032644
1477484275270035560,1515,1477484275112409831,/Vision_sensor,/mf7,0.389757633209,0.356304347515,2.85344266891,-0.706128118627,0.707677704523,-0.0234294418901,0.00513865688027
1477484275330237080,1516,1477484275181850060,/Vision_sensor,/mf7,0.387935191393,0.35493606329,2.84177422523,-0.704946476567,0.708816913789,-0.016454264997,0.0189290541069
1477484275462676507,1517,1477484275287612511,/Vision_sensor,/mf7,0.389966666698,0.356404274702,2.85432171822,-0.705658294353,0.708060056551,-0.0258989809689,0.00515289167231
1477484275582124425,1518,1477484275404306405,/Vision_sensor,/mf7,0.389831423759,0.35627296567,2.85318851471,-0.706234397755,0.707469192329,-0.0257588002684,0.00753585194175
1477484275720973499,1519,1477484275544025490,/Vision_sensor,/mf7,0.390729516745,0.357092708349,2.86183929443,-0.705254003512,0.708846168489,-0.0120993209166,-0.00274213474003
1477484275828301700,1520,1477484275632658425,/Vision_sensor,/mf7,0.389147162437,0.355727881193,2.84797430038,-0.705685165456,0.707858403366,-0.0277818613462,0.0131575529488
